Session_ID,Session_Date,Start_Hour,Station_ID,City,State,Station_Ownership,Charger_Type,Connector_Type,Customer_Type,Payment_Method,Session_Duration_Hours,Energy_Consumed_kWh,Price_per_kWh,Revenue,Electricity_Cost,Maintenance_Cost,Other_Cost,Profit,Occupancy_Rate_Pct,Customer_Rating,Session_Status
SES-003535,2024-12-31,23,EV-023,Chennai,Tamil Nadu,Franchise,AC Level 2,CCS2,Private,Corporate Account,0.81,10.22,11.05,112.93,52.13,194.71,12.78,-146.69,44.4,3.9,Completed
SES-004387,2025-11-22,14,EV-077,Gurugram,Haryana,Own,AC Level 2,Type 2,Private,Wallet,1.01,15.63,9.53,148.95,101.71,102.14,20.94,-75.84,30.9,4.5,Completed
SES-001721,2024-05-22,21,EV-018,Hyderabad,Telangana,Own,DC Fast,Type 2,Private,Corporate Account,1.64,83.41,15.67,1307.03,517.68,138.74,64.4,586.21,53.3,4.9,Completed
SES-003215,2024-11-11,1,EV-086,Bengaluru,Karnataka,Partner,DC Fast,CCS2,Private,Corporate Account,1.1,62.69,11.27,706.52,500.77,89.58,19.16,97.01,18.2,4.0,Completed
SES-000078,2025-09-06,19,EV-053,Lucknow,Uttar Pradesh,Franchise,DC Fast,CCS2,Private,UPI,0.15,6.65,14.35,95.43,52.16,105.32,75.84,-137.89,2.0,4.9,Completed
SES-002551,2024-02-06,3,EV-080,Ahmedabad,Gujarat,Own,AC Level 2,CCS2,Private,UPI,1.24,17.06,8.27,141.09,90.66,93.26,44.05,-86.88,29.1,3.9,Completed
SES-004588,2024-04-16,8,EV-020,Hyderabad,Telangana,Own,DC Fast,CHAdeMO,Taxi/Ride-share,UPI,2.78,86.07,13.19,1135.26,566.74,192.14,20.89,355.49,73.9,3.8,Completed
SES-000759,2024-12-26,15,EV-043,Lucknow,Uttar Pradesh,Own,DC Ultra-Fast,CCS2,Fleet,UPI,1.78,180.0,14.77,2658.6,1182.67,203.1,62.95,1209.88,40.2,5.0,Completed
SES-004806,2024-03-15,0,EV-072,Gurugram,Haryana,Partner,,Type 2,Taxi/Ride-share,Card,0.35,13.78,13.69,188.65,76.91,62.25,59.72,-10.23,23.7,3.4,Completed
SES-000210,2025-01-19,0,EV-100,Bengaluru,Karnataka,Partner,DC Fast,CCS2,Private,Wallet,0.93,42.35,12.7,537.84,261.78,110.92,68.44,96.7,41.6,4.6,Completed
SES-000833,2025-02-13,12,EV-098,Pune,Maharashtra,Own,DC Fast,Type 2,Private,Card,0.28,7.66,13.77,105.48,44.28,151.87,43.2,-133.87,34.1,3.5,Completed
SES-000015,2025-06-15,0,EV-063,Chennai,Tamil Nadu,Own,AC Level 2,CCS2,Private,Wallet,0.89,16.7,8.36,139.61,117.72,90.78,9.22,-78.11,30.9,3.8,Completed
SES-001299,2024-04-22,22,EV-046,Ahmedabad,Gujarat,Partner,AC Level 2,CCS2,Fleet,Corporate Account,1.51,31.03,10.1,313.4,227.17,57.18,32.44,-3.39,53.8,4.4,Completed
SES-001713,2025-07-08,21,EV-021,Bengaluru,Karnataka,Own,AC Level 2,CCS2,Private,UPI,1.33,23.62,8.37,197.7,167.66,199.98,23.01,-192.95,38.7,4.7,Completed
SES-004600,2025-01-28,20,EV-094,Delhi,Delhi,Partner,AC Level 2,Type 2,Fleet,Wallet,0.61,6.66,10.12,67.4,49.55,141.47,34.09,-157.71,9.0,4.3,Completed
SES-000202,2024-12-17,1,EV-070,Delhi,Delhi,Franchise,AC Level 2,Type 2,Private,Card,1.23,17.81,9.12,162.43,106.99,185.03,56.74,-186.33,46.7,4.6,Completed
SES-001684,2024-01-11,10,EV-085,Ahmedabad,Gujarat,Own,DC Fast,CCS2,Private,Card,0.49,25.35,14.89,377.46,164.62,137.02,6.71,69.11,10.0,4.9,Completed
SES-003231,2024-09-24,13,EV-090,Delhi,Delhi,Own,AC Level 2,CCS2,Private,UPI,0.23,4.63,11.64,53.89,26.85,198.35,47.44,-218.75,13.6,3.4,Completed
SES-000168,2025-01-27,11,EV-010,Hyderabad,Telangana,Own,DC Fast,Type 2,Taxi/Ride-share,UPI,1.56,54.98,13.82,759.82,376.35,111.69,29.54,242.24,22.4,4.9,Completed
SES-002285,2024-12-18,16,EV-032,Hyderabad,Telangana,Own,DC Ultra-Fast,CCS2,Private,Wallet,0.39,42.17,19.17,808.4,331.23,98.83,17.62,360.72,21.8,4.4,Completed
SES-004142,2025-03-23,2,EV-043,Lucknow,Uttar Pradesh,Franchise,DC Fast,CCS2,Taxi/Ride-share,UPI,3.28,125.05,13.04,1630.65,838.1,107.84,79.92,604.79,31.0,3.3,Completed
SES-004808,2025-06-29,6,EV-005,Chennai,Tamil Nadu,Franchise,AC Level 2,CCS2,Fleet,Corporate Account,0.74,8.79,9.86,86.67,46.06,176.25,78.92,-214.56,38.0,4.7,Completed
SES-000773,2025-04-21,5,EV-044,Delhi,Delhi,Partner,DC Ultra-Fast,CHAdeMO,Taxi/Ride-share,Wallet,3.55,180.0,15.76,2836.8,1378.89,254.08,77.48,1126.35,52.7,3.4,Completed
SES-001035,2025-08-01,18,EV-087,Lucknow,Uttar Pradesh,Franchise,DC Ultra-Fast,Type 2,Private,UPI,1.52,128.55,14.05,1806.13,1030.54,321.92,31.55,422.12,29.3,4.7,Completed
SES-004055,2025-10-03,11,EV-033,Ahmedabad,Gujarat,Own,DC Fast,Type 2,Fleet,Card,0.63,21.7,15.59,338.3,177.99,43.01,28.22,89.08,37.3,4.9,Completed
SES-002056,2024-04-27,20,EV-057,Ahmedabad,Gujarat,Own,AC Level 2,CCS2,Taxi/Ride-share,Card,0.26,3.73,10.03,37.41,26.11,211.14,42.91,-242.75,30.6,4.1,Completed
SES-001771,2025-10-25,10,EV-033,Jaipur,Rajasthan,Franchise,AC Level 2,CHAdeMO,Corporate,Card,1.18,12.92,10.66,137.73,95.25,156.21,16.52,-130.25,19.5,3.1,Completed
SES-003375,2024-12-22,8,EV-015,Mumbai,Maharashtra,Own,AC Level 2,CCS2,Taxi/Ride-share,Wallet,0.15,2.99,11.6,34.68,18.29,148.92,44.99,-177.52,13.9,4.7,Completed
SES-002904,2024-03-10,18,EV-060,Hyderabad,Telangana,Franchise,DC Fast,Type 2,Private,UPI,1.05,40.3,15.48,623.84,308.21,82.77,46.2,186.66,18.2,3.9,Completed
SES-003366,2025-02-15,7,EV-015,Delhi,Delhi,Franchise,DC Fast,CCS2,Corporate,UPI,1.77,69.16,12.53,866.57,532.68,133.64,8.78,191.47,45.3,3.6,Completed
SES-004958,2025-12-28,18,EV-006,Ahmedabad,Gujarat,Own,AC Level 2,CCS2,Corporate,Wallet,1.09,11.54,8.32,96.01,66.87,159.07,54.88,-184.81,24.1,5.0,Completed
SES-000489,2024-05-11,19,EV-048,Hyderabad,Telangana,Own,AC Level 2,CCS2,Taxi/Ride-share,UPI,1.5,29.42,10.96,322.44,156.95,60.55,12.57,92.37,52.0,4.4,Completed
SES-003084,2025-11-20,6,EV-024,Pune,Maharashtra,Partner,AC Level 2,Type 2,Fleet,Wallet,2.06,32.52,8.47,275.44,165.85,144.06,54.23,-88.7,57.9,4.0,Completed
SES-003587,2024-09-08,7,EV-060,Hyderabad,Telangana,Partner,DC Ultra-Fast,CCS2,Corporate,UPI,1.36,142.53,19.35,2757.96,1139.54,329.77,13.69,1274.96,32.2,4.5,Completed
SES-002840,2024-12-03,15,EV-044,,Maharashtra,Own,AC Level 2,CCS2,Private,Card,0.4,8.3,11.26,93.46,65.67,60.66,29.48,-62.35,16.2,4.1,Completed
SES-003822,2024-05-30,6,EV-080,Pune,Maharashtra,Own,DC Fast,CHAdeMO,Private,Card,1.27,37.39,11.26,421.01,250.05,75.89,5.97,89.1,21.4,3.5,Completed
SES-000354,2025-04-06,9,EV-079,Lucknow,Uttar Pradesh,Own,DC Fast,CCS2,Corporate,UPI,0.56,22.42,13.8,309.4,175.93,121.68,51.44,-39.65,29.8,5.0,Completed
SES-000888,2025-05-14,11,EV-004,Gurugram,Haryana,Own,AC Level 2,CCS2,Private,UPI,0.38,7.1,10.11,71.78,40.22,132.59,67.55,-168.58,14.4,3.9,Completed
SES-003240,2024-05-30,1,EV-021,Mumbai,Maharashtra,Partner,AC Level 2,CCS2,Private,UPI,1.06,12.12,9.64,116.84,63.63,180.37,38.13,-165.29,26.8,4.4,Completed
SES-003006,2025-08-21,20,EV-026,Mumbai,Maharashtra,Own,AC Level 2,CCS2,Fleet,Wallet,0.15,2.79,11.78,32.87,21.4,96.78,20.13,-105.44,12.0,3.9,Cancelled
SES-004253,2024-02-21,21,EV-053,Hyderabad,Telangana,Own,DC Fast,CCS2,Private,UPI,0.15,7.05,12.03,84.81,46.86,218.28,31.85,-212.18,9.8,3.4,Completed
SES-003784,2024-11-15,16,EV-079,Delhi,Delhi,Franchise,AC Level 2,CCS2,Private,Card,0.26,4.28,10.24,43.83,30.23,57.02,38.51,-81.93,26.9,4.3,Completed
SES-002674,2024-10-21,9,EV-016,Mumbai,Maharashtra,Partner,DC Fast,CCS2,Corporate,Wallet,1.75,74.94,12.93,968.97,549.53,38.9,46.26,334.28,45.2,3.9,Completed
SES-002590,2024-05-30,16,EV-086,Delhi,Delhi,Franchise,DC Fast,CCS2,Private,UPI,1.12,39.75,14.69,583.93,263.28,64.6,15.23,240.82,52.0,3.9,Cancelled
SES-002058,2024-07-26,16,EV-095,Lucknow,Uttar Pradesh,Franchise,DC Fast,CCS2,Corporate,UPI,1.12,51.79,12.64,654.63,412.75,164.21,30.9,46.77,45.2,4.5,Completed
SES-002267,2024-06-12,3,EV-094,Delhi,Delhi,Own,AC Level 2,Type 2,Corporate,UPI,0.27,3.42,11.61,39.71,17.41,215.2,11.2,-204.1,14.3,3.5,Completed
SES-003487,2024-03-21,17,EV-093,Chennai,Tamil Nadu,Own,DC Fast,CCS2,Private,UPI,1.63,53.0,11.42,605.26,318.39,151.16,58.46,77.25,47.2,4.4,Completed
SES-002597,2024-12-09,15,EV-048,Delhi,Delhi,Partner,DC Fast,CCS2,Private,UPI,1.0,43.91,11.56,507.6,238.55,107.3,11.24,150.51,52.0,3.9,Completed
SES-003748,2025-08-05,0,EV-096,Lucknow,Uttar Pradesh,Own,DC Fast,CCS2,Private,Card,0.89,46.0,11.06,508.76,387.03,87.71,26.3,7.72,35.3,4.8,Completed
SES-001217,2025-04-25,23,EV-056,Delhi,Delhi,Partner,DC Fast,CCS2,Corporate,Corporate Account,0.41,13.57,11.43,155.11,100.12,91.0,61.21,-97.22,15.1,4.5,Completed
SES-003283,2024-08-07,20,EV-080,Mumbai,Maharashtra,Partner,AC Level 2,CCS2,Private,Card,0.68,11.0,9.07,99.77,72.92,98.83,35.44,-107.42,33.4,3.8,Completed
SES-003230,2025-08-18,0,EV-099,Jaipur,Rajasthan,Own,DC Fast,CHAdeMO,Taxi/Ride-share,Wallet,2.3,71.83,12.2,876.33,596.07,165.71,16.16,98.39,40.8,4.7,Completed
SES-003239,2024-11-03,23,EV-025,Jaipur,Rajasthan,Own,AC Level 2,CCS2,Taxi/Ride-share,Wallet,1.2,14.37,10.38,149.16,111.41,93.23,77.09,-132.57,70.9,4.4,Completed
SES-000522,2025-10-23,11,EV-042,Pune,Maharashtra,Own,DC Fast,CCS2,Corporate,Wallet,0.83,38.47,15.87,610.52,234.1,172.03,28.81,175.58,47.3,3.8,Completed
SES-004780,2024-07-05,21,EV-020,Pune,Maharashtra,Partner,DC Fast,CCS2,Fleet,UPI,0.15,6.77,14.99,101.48,50.9,36.17,17.92,-3.51,26.0,4.4,Completed
SES-003428,2024-11-14,18,EV-035,Ahmedabad,Gujarat,Own,DC Ultra-Fast,CCS2,Fleet,Corporate Account,1.57,180.0,18.54,3337.2,1133.45,298.44,21.86,1883.45,25.0,4.6,Completed
SES-004353,2025-03-23,4,EV-028,Lucknow,Uttar Pradesh,Own,AC Level 2,CCS2,Private,Card,0.18,2.5,11.12,27.8,20.01,161.03,36.46,-189.7,18.2,3.7,Completed
SES-004542,2025-08-02,9,EV-014,Hyderabad,Telangana,Franchise,DC Fast,CCS2,Corporate,UPI,2.55,106.11,13.42,1424.0,808.74,216.23,66.87,332.16,53.0,3.7,Failed
SES-001834,2024-04-17,12,EV-015,Hyderabad,Telangana,Own,AC Level 2,CHAdeMO,Private,Card,0.79,12.15,8.29,100.72,91.73,56.11,46.82,-93.94,34.2,4.3,Completed
SES-001309,2025-06-11,11,EV-050,Lucknow,Uttar Pradesh,Own,AC Level 2,Type 2,Fleet,Corporate Account,0.71,10.04,8.22,82.53,71.87,190.96,36.14,-216.44,43.5,4.7,Completed
SES-003929,2024-07-31,5,EV-023,Chennai,Tamil Nadu,Franchise,AC Level 2,CCS2,Private,Card,0.86,11.64,11.37,132.35,94.28,104.04,48.38,-114.35,19.9,3.6,Completed
SES-002805,2025-03-04,22,EV-029,Lucknow,Uttar Pradesh,Franchise,DC Fast,CCS2,Private,Wallet,0.71,37.2,14.16,526.75,283.54,139.79,53.44,49.98,46.2,4.6,Completed
SES-001241,2024-11-23,7,EV-075,Chennai,Tamil Nadu,Franchise,DC Ultra-Fast,CCS2,Taxi/Ride-share,Wallet,1.48,111.56,14.44,1610.93,697.51,217.82,69.04,626.56,50.7,4.4,Completed
SES-002715,2024-12-29,15,EV-032,Chennai,Tamil Nadu,Partner,DC Fast,CCS2,Corporate,Card,1.1,38.17,15.43,588.96,323.36,184.31,27.52,53.77,39.6,4.8,Completed
SES-002310,2024-11-16,17,EV-009,Lucknow,Uttar Pradesh,Own,DC Fast,CHAdeMO,Private,Corporate Account,1.34,50.96,12.0,611.52,319.37,187.15,79.91,25.09,31.6,3.9,Completed
SES-000130,2024-08-08,17,EV-049,Ahmedabad,Gujarat,Franchise,DC Fast,CCS2,Fleet,UPI,0.4,19.65,12.04,236.59,124.08,172.24,79.01,-138.74,43.9,3.3,Completed
SES-000101,2024-10-10,13,EV-050,Mumbai,Maharashtra,Own,AC Level 2,CCS2,Private,Wallet,0.47,9.6,11.44,109.82,79.23,102.07,21.89,-93.37,27.0,4.8,Completed
SES-000984,2025-02-07,16,EV-006,Bengaluru,Karnataka,Partner,AC Level 2,CCS2,Corporate,Wallet,1.48,23.1,10.06,232.39,173.48,179.34,64.92,-185.35,48.9,4.2,Completed
SES-002374,2025-04-01,21,EV-005,Ahmedabad,Gujarat,Franchise,DC Fast,Type 2,Private,Corporate Account,0.8,27.32,11.9,325.11,167.07,63.88,74.45,19.71,30.1,4.3,Completed
SES-004949,2025-07-28,3,EV-021,Bengaluru,Karnataka,Franchise,ac level 2,Type 2,Private,UPI,0.63,6.84,9.15,62.59,42.07,164.36,38.18,-182.02,19.8,3.5,Completed
SES-000412,2025-12-10,13,EV-054,Lucknow,Uttar Pradesh,Partner,AC Level 2,CHAdeMO,Corporate,UPI,0.59,9.8,8.82,86.44,55.35,148.78,41.73,-159.42,26.1,5.0,Completed
SES-003640,2024-11-07,0,EV-052,Mumbai,Maharashtra,Own,AC Level 2,Type 2,Private,UPI,1.3,16.06,9.25,148.55,102.54,84.63,15.63,-54.25,48.8,4.3,Completed
SES-000800,2025-05-10,14,EV-028,Lucknow,Uttar Pradesh,Franchise,AC Level 2,CHAdeMO,Private,Corporate Account,1.64,18.14,8.58,155.64,110.27,186.77,17.43,-158.83,52.6,3.6,Completed
SES-001013,2024-11-18,3,EV-051,Chennai,Tamil Nadu,Partner,AC Level 2,CCS2,Private,Card,1.16,19.91,11.77,234.34,120.53,194.1,54.57,-134.86,36.2,3.1,Completed
SES-003798,2025-08-27,0,EV-098,Bengaluru,Karnataka,Own,AC Level 2,CCS2,Private,Card,2.02,30.34,11.01,334.04,196.93,138.98,51.38,-53.25,37.1,3.3,Completed
SES-001905,2024-12-22,23,EV-012,Ahmedabad,Gujarat,Franchise,DC Ultra-Fast,CHAdeMO,Taxi/Ride-share,Card,0.17,18.68,17.13,319.99,128.18,46.24,10.86,134.71,14.8,3.4,Completed
SES-002362,2025-11-29,5,EV-057,Hyderabad,Telangana,Own,DC Fast,CCS2,Private,Corporate Account,0.68,22.97,13.54,311.01,123.95,137.68,78.07,-28.69,25.2,3.2,Completed
SES-002516,2025-04-13,9,EV-074,Jaipur,Rajasthan,Franchise,AC Level 2,Type 2,Corporate,Card,1.39,21.07,11.59,244.2,131.05,197.7,39.77,-124.32,48.8,4.2,Completed
SES-004340,2025-03-25,0,EV-041,Hyderabad,Telangana,Own,AC Level 2,CCS2,Private,Wallet,1.55,30.89,9.79,302.41,220.73,187.02,6.02,-111.36,51.4,4.4,Completed
SES-000436,2024-10-26,20,EV-087,Delhi,Delhi,Franchise,DC Fast,CCS2,Fleet,UPI,0.8,35.75,14.27,510.15,284.74,66.55,48.03,110.83,42.7,3.4,Completed
SES-001081,2024-12-19,16,EV-096,Bengaluru,Karnataka,Partner,DC Ultra-Fast,Type 2,Taxi/Ride-share,UPI,0.18,15.05,14.58,219.43,110.25,317.79,65.4,-274.01,23.1,5.0,Completed
SES-000645,2025-03-10,16,EV-078,Delhi,Delhi,Own,AC Level 2,CCS2,Taxi/Ride-share,UPI,2.45,34.13,11.36,387.72,253.63,97.55,69.6,-33.06,44.2,4.0,Completed
SES-001245,2025-12-29,5,EV-042,Gurugram,Haryana,Own,DC Fast,CCS2,Private,Corporate Account,0.78,24.04,13.46,323.58,163.53,56.24,76.33,27.48,24.1,2.9,Completed
SES-001729,2024-08-11,5,EV-027,Lucknow,Uttar Pradesh,Franchise,AC Level 2,CHAdeMO,Fleet,UPI,0.4,6.11,8.11,49.55,42.92,68.78,51.28,-113.43,42.3,4.4,Completed
SES-004918,2025-03-09,3,EV-044,Chennai,Tamil Nadu,Franchise,DC Fast,CCS2,Private,UPI,1.15,48.24,11.22,541.25,266.02,190.49,70.98,13.76,5.5,4.6,Completed
SES-003420,2024-10-02,5,EV-023,Gurugram,Haryana,Partner,DC Fast,CHAdeMO,Taxi/Ride-share,Card,1.55,43.24,13.91,601.47,289.53,111.03,77.86,123.05,34.0,4.9,Completed
SES-001725,2024-02-28,4,EV-096,Ahmedabad,Gujarat,Partner,DC Fast,CCS2,Taxi/Ride-share,Corporate Account,1.68,56.43,15.99,902.32,380.08,120.83,74.86,326.55,32.1,4.2,Completed
SES-000403,2024-08-06,0,EV-092,Ahmedabad,Gujarat,Own,DC Ultra-Fast,CCS2,Private,Corporate Account,0.94,66.07,17.08,1128.48,379.01,240.48,59.35,449.64,45.6,3.6,Completed
SES-001371,2024-08-02,6,EV-001,Lucknow,Uttar Pradesh,Own,AC Level 2,Type 2,Private,Card,1.27,14.79,8.01,118.47,89.27,35.06,14.14,-20.0,49.9,3.4,Completed
SES-000331,2024-03-21,1,EV-086,Chennai,Tamil Nadu,Partner,AC Level 2,Type 2,Fleet,UPI,0.15,2.85,9.71,27.67,19.07,68.32,20.42,-80.14,9.7,4.4,Completed
SES-003802,2025-04-24,2,EV-082,Ahmedabad,Gujarat,Own,DC Ultra-Fast,CCS2,Private,Card,2.55,180.0,15.4,2772.0,1107.42,74.61,34.71,1555.26,39.2,5.0,Completed
SES-004860,2025-07-18,4,EV-013,Jaipur,Rajasthan,Own,AC Level 2,Type 2,Fleet,UPI,0.56,6.85,10.78,73.84,46.76,164.73,69.91,-207.56,19.9,4.1,Completed
SES-000799,2025-04-24,9,EV-017,Ahmedabad,Gujarat,Franchise,AC Level 2,CCS2,Taxi/Ride-share,UPI,0.83,14.69,9.74,143.08,101.3,93.18,11.71,-63.11,19.9,4.4,Completed
SES-004697,2025-05-17,12,EV-022,Bengaluru,Karnataka,Own,DC Fast,CCS2,Taxi/Ride-share,Card,1.65,52.26,11.44,597.85,273.76,71.67,58.37,194.05,38.2,4.1,Completed
SES-002647,2024-01-02,3,EV-037,Hyderabad,Telangana,Own,DC Fast,Type 2,Private,UPI,1.31,44.54,15.49,689.92,302.25,42.42,60.16,285.09,18.7,3.8,Cancelled
SES-001194,2025-06-02,21,EV-098,Gurugram,Haryana,Own,DC Ultra-Fast,CCS2,Taxi/Ride-share,UPI,0.2,27.53,19.07,525.0,197.25,202.79,18.44,106.52,18.6,5.0,Completed
SES-000745,2025-03-07,16,EV-045,Bengaluru,Karnataka,Own,DC Fast,Type 2,Corporate,UPI,1.85,97.32,12.25,1192.17,541.12,45.24,29.59,576.22,42.7,3.5,Completed
SES-001654,2025-01-30,16,EV-082,Lucknow,Uttar Pradesh,Own,DC Fast,CCS2,Private,UPI,1.76,65.16,13.61,886.83,526.45,99.25,15.36,245.77,30.6,3.9,Failed
SES-002814,2024-05-11,19,EV-004,Chennai,Tamil Nadu,Franchise,DC Fast,Type 2,Private,Wallet,1.84,75.3,13.33,1003.75,581.62,77.27,67.1,277.76,47.1,3.8,Completed
SES-000591,2025-10-17,7,EV-071,Pune,Maharashtra,Partner,DC Ultra-Fast,CCS2,Taxi/Ride-share,Card,1.73,180.0,18.92,3405.6,927.67,112.11,15.71,2350.11,42.1,2.9,Cancelled
SES-002889,2024-03-06,11,EV-089,Chennai,Tamil Nadu,Own,DC Fast,CCS2,Private,Card,2.48,90.9,15.86,1441.67,582.82,127.67,20.29,710.89,45.7,3.1,Completed
SES-001829,2024-08-14,19,EV-052,Jaipur,Rajasthan,Own,DC Fast,CCS2,Private,Corporate Account,0.54,15.02,12.13,182.19,117.95,215.46,26.32,-177.54,22.5,4.7,Completed
SES-004418,2024-01-25,23,EV-095,Ahmedabad,Gujarat,Own,AC Level 2,Type 2,Private,Card,0.59,7.73,11.01,85.11,42.41,198.16,78.29,-233.75,12.8,4.1,Completed
SES-000737,2024-02-08,5,EV-077,Chennai,Tamil Nadu,Own,DC Fast,CCS2,Corporate,UPI,0.99,28.15,13.13,369.61,147.83,39.82,74.24,107.72,32.6,4.0,Completed
SES-000649,2024-05-05,23,EV-043,Chennai,Tamil Nadu,Own,DC Fast,CCS2,Fleet,UPI,0.23,7.92,12.07,95.59,61.42,38.67,64.65,-69.15,18.7,3.7,Completed
SES-004239,2024-07-02,16,EV-056,Mumbai,Maharashtra,Own,DC Fast,CHAdeMO,Taxi/Ride-share,Wallet,0.39,19.17,13.34,255.73,151.57,124.15,14.76,-34.75,35.6,3.7,Completed
SES-004506,2025-01-02,17,EV-100,Ahmedabad,Gujarat,Partner,AC Level 2,Type 2,Taxi/Ride-share,Card,1.14,21.56,11.81,254.62,180.64,50.74,53.87,-30.63,29.6,3.6,Completed
SES-000834,2025-10-04,9,EV-093,Chennai,Tamil Nadu,Partner,AC Level 2,CHAdeMO,Private,UPI,0.21,2.61,8.13,21.22,18.78,167.31,34.9,-199.77,19.5,3.4,Completed
SES-003625,2025-11-02,21,EV-049,Bengaluru,Karnataka,Partner,DC Fast,CCS2,Taxi/Ride-share,Card,0.74,38.46,15.09,580.36,290.4,116.78,16.32,156.86,20.1,4.0,Completed
SES-001940,2025-04-09,0,EV-096,Chennai,Tamil Nadu,Own,AC Level 2,Type 2,Fleet,UPI,1.12,13.36,8.95,119.57,105.22,123.47,46.92,-156.04,18.9,3.6,Completed
SES-004813,2024-02-29,16,EV-094,Chennai,Tamil Nadu,Franchise,DC Fast,CCS2,Fleet,Wallet,1.08,52.11,13.62,709.74,358.84,41.22,19.45,290.23,35.3,3.9,Completed
SES-000034,2024-03-28,4,EV-100,Bengaluru,Karnataka,Own,DC Fast,Type 2,Corporate,,0.52,24.68,14.62,360.82,204.2,145.31,17.34,-6.03,25.4,4.2,Completed
SES-001896,2024-05-28,0,EV-015,Pune,Maharashtra,Franchise,DC Ultra-Fast,CCS2,Private,UPI,0.54,44.95,15.79,709.76,233.96,137.52,64.16,274.12,23.8,3.2,Completed
SES-003181,2025-02-09,12,EV-057,Chennai,Tamil Nadu,Own,AC Level 2,Type 2,Private,UPI,1.59,27.22,9.04,246.07,224.6,54.14,31.99,-64.66,64.3,4.0,Completed
SES-003735,2024-06-07,19,EV-077,Jaipur,Rajasthan,Partner,AC Level 2,CCS2,Taxi/Ride-share,UPI,0.19,2.54,10.65,27.05,16.05,88.56,70.23,-147.79,34.0,4.3,Completed
SES-001322,2025-01-20,19,EV-006,Jaipur,Rajasthan,Franchise,AC Level 2,CCS2,Private,UPI,2.5,35.61,9.79,348.62,202.43,79.68,19.25,47.26,36.2,4.2,Completed
